ID,Name,Species,Age,Category
CVCL_1062,A3/Kawakami,Homo sapiens,68Y,Cancer cell line
CVCL_1064,A4/Fukuda,Homo sapiens,52Y,Cancer cell line
CVCL_5968,A64-CLS,Homo sapiens,63Y,Cancer cell line
CVCL_1066,ABC-1,Homo sapiens,47Y,Cancer cell line
CVCL_4U18,AC16 [Human hybrid],Homo sapiens,,Hybrid cell line
CVCL_1067,ACHN,Homo sapiens,22Y,Cancer cell line
CVCL_6291,ACT-1 [Human thyroid carcinoma],Homo sapiens,Age unspecified,Cancer cell line
CVCL_X981,AGPN,Homo sapiens,,Cancer cell line
CVCL_0139,AGS,Homo sapiens,54Y,Cancer cell line
CVCL_L641,ALS-iPS1,Homo sapiens,54Y,Induced pluripotent stem cell
CVCL_L642,ALS-iPS2,Homo sapiens,54Y,Induced pluripotent stem cell
CVCL_1070,AM-38,Homo sapiens,36Y,Cancer cell line
CVCL_D908,AM-iPS-13,Homo sapiens,,Induced pluripotent stem cell
CVCL_D915,AM-iPS-20,Homo sapiens,,Induced pluripotent stem cell
CVCL_D916,AM-iPS-3,Homo sapiens,,Induced pluripotent stem cell
CVCL_D918,AM-iPS-5,Homo sapiens,,Induced pluripotent stem cell
CVCL_D919,AM-iPS-6,Homo sapiens,,Induced pluripotent stem cell
CVCL_D921,AM-iPS-8,Homo sapiens,,Induced pluripotent stem cell
CVCL_D691,AM936EP,Homo sapiens,,Finite cell line
CVCL_B941,AMN iPSC-3,Homo sapiens,32Y,Induced pluripotent stem cell
CVCL_1806,AMO1,Homo sapiens,64Y,Cancer cell line
CVCL_0028,AN3-CA,Homo sapiens,55Y,Cancer cell line
CVCL_U287,Anglne,Homo sapiens,,Cancer cell line
CVCL_0145,ARPE-19,Homo sapiens,19Y,Spontaneously immortalized cell line
CVCL_2856,ASH-3,Homo sapiens,68Y,Cancer cell line
CVCL_0152,AsPC-1,Homo sapiens,62Y,Cancer cell line
CVCL_2299,ATRFLOX,Homo sapiens,48Y,Cancer cell line
CVCL_1074,AU565,Homo sapiens,43Y,Cancer cell line
CVCL_0153,B-CPAP,Homo sapiens,76Y,Cancer cell line
CVCL_2866,BCNS1KO,Homo sapiens,,Finite cell line
CVCL_JY35,BE3,Homo sapiens,,Cancer cell line
CVCL_0168,BEAS-2B,Homo sapiens,,Transformed cell line
CVCL_1082,BEN,Homo sapiens,71Y,Cancer cell line
CVCL_0044,BeWo,Homo sapiens,Fetus,Cancer cell line
CVCL_VP38,BexBra1,Homo sapiens,57Y,Cancer cell line
CVCL_VP39,BexBra2,Homo sapiens,67Y,Cancer cell line
CVCL_VP40,BexBra4,Homo sapiens,51Y,Cancer cell line
CVCL_1083,BFTC-905,Homo sapiens,51Y,Cancer cell line
CVCL_1084,BFTC-909,Homo sapiens,64Y,Cancer cell line
CVCL_1085,BHT-101,Homo sapiens,63Y,Cancer cell line
CVCL_1086,BHY,Homo sapiens,52Y,Cancer cell line
CVCL_2307,BICR 10,Homo sapiens,Age unspecified,Cancer cell line
CVCL_2310,BICR 22,Homo sapiens,88Y,Cancer cell line
CVCL_2312,BICR 31,Homo sapiens,Age unspecified,Cancer cell line
CVCL_2315,BICR 78,Homo sapiens,Age unspecified,Cancer cell line
CVCL_S987,BIN-67,Homo sapiens,Age unspecified,Cancer cell line
CVCL_VG55,BIOi001-A,Homo sapiens,10Y,Induced pluripotent stem cell
CVCL_6573,BJ1-hTERT,Homo sapiens,<1M,Telomerase immortalized cell line
CVCL_5711,BJAB,Homo sapiens,5Y,Cancer cell line
CVCL_M567,BL-28,Homo sapiens,19Y,Cancer cell line
CVCL_C149,BL-40,Homo sapiens,18Y,Cancer cell line
CVCL_VQ57,BLaER1,Homo sapiens,8Y,Cancer cell line
CVCL_1089,BOKU,Homo sapiens,Age unspecified,Cancer cell line
CVCL_S444,BS-153,Homo sapiens,,Cancer cell line
CVCL_DQ80,BSS1-PBMC-iPS4F4,Homo sapiens,Age unspecified,Induced pluripotent stem cell
CVCL_M155,BT-12,Homo sapiens,2M,Cancer cell line
CVCL_0178,BT-20,Homo sapiens,74Y,Cancer cell line
CVCL_5120,BT-325,Homo sapiens,57Y,Cancer cell line
CVCL_0179,BT-474,Homo sapiens,60Y,Cancer cell line
CVCL_2319,BT-483,Homo sapiens,23Y,Cancer cell line
CVCL_1092,BT-549,Homo sapiens,72Y,Cancer cell line
CVCL_0181,BV-173,Homo sapiens,45Y,Cancer cell line
CVCL_0186,BxPC-3,Homo sapiens,61Y,Cancer cell line
CVCL_6821,C-20/A4,Homo sapiens,5Y,Transformed cell line
CVCL_0187,C-28/I2,Homo sapiens,15Y,Transformed cell line
CVCL_1094,C-33 A,Homo sapiens,66Y,Cancer cell line
CVCL_5969,C-643,Homo sapiens,76Y,Cancer cell line
CVCL_VT47,C17,Homo sapiens,38Y,Cancer cell line
CVCL_S959,C170,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1096,C2BBe1,Homo sapiens,72Y,Cancer cell line
CVCL_1097,C32 [Human melanoma],Homo sapiens,53Y,Cancer cell line
CVCL_7949,C666-1,Homo sapiens,,Cancer cell line
CVCL_0195,C8166/45,Homo sapiens,,Transformed cell line
CVCL_0197,C91/PL,Homo sapiens,,Transformed cell line
CVCL_8471,C918,Homo sapiens,,Cancer cell line
CVCL_1100,Ca Ski,Homo sapiens,40Y,Cancer cell line
CVCL_1101,CA46,Homo sapiens,Age unspecified,Cancer cell line
CVCL_0025,Caco-2,Homo sapiens,72Y,Cancer cell line
CVCL_1103,CADO-ES1,Homo sapiens,19Y,Cancer cell line
CVCL_VR41,CAF-SA,Homo sapiens,Age unspecified,Spontaneously immortalized cell line
CVCL_0234,Caki-1,Homo sapiens,49Y,Cancer cell line
CVCL_0235,Caki-2,Homo sapiens,69Y,Cancer cell line
CVCL_1104,CAL-120,Homo sapiens,43Y,Cancer cell line
CVCL_1105,CAL-12T,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1106,CAL-148,Homo sapiens,58Y,Cancer cell line
CVCL_1107,CAL-27,Homo sapiens,56Y,Cancer cell line
CVCL_1108,CAL-33,Homo sapiens,69Y,Cancer cell line
CVCL_1110,CAL-51,Homo sapiens,45Y,Cancer cell line
CVCL_1111,CAL-54,Homo sapiens,75Y,Cancer cell line
CVCL_1112,CAL-62,Homo sapiens,70Y,Cancer cell line
CVCL_1114,CAL-85-1,Homo sapiens,35Y,Cancer cell line
CVCL_0608,Calu-1,Homo sapiens,47Y,Cancer cell line
CVCL_0609,Calu-3,Homo sapiens,25Y,Cancer cell line
CVCL_0236,Calu-6,Homo sapiens,61Y,Cancer cell line
CVCL_1115,CAMA-1,Homo sapiens,51Y,Cancer cell line
CVCL_0201,Caov-3,Homo sapiens,54Y,Cancer cell line
CVCL_0202,Caov-4,Homo sapiens,45Y,Cancer cell line
CVCL_0237,Capan-1,Homo sapiens,40Y,Cancer cell line
CVCL_0026,Capan-2,Homo sapiens,56Y,Cancer cell line
CVCL_1116,CaR-1,Homo sapiens,70Y,Cancer cell line
CVCL_B939,CCALD iPSC-10,Homo sapiens,6Y,Induced pluripotent stem cell
CVCL_B940,CCALD iPSC-2,Homo sapiens,6Y,Induced pluripotent stem cell
CVCL_1118,CCF-STTG1,Homo sapiens,68Y,Cancer cell line
CVCL_RU10,CCMCL1,Homo sapiens,58Y,Cancer cell line
CVCL_VE07,CCMi001-A,Homo sapiens,34Y,Induced pluripotent stem cell
CVCL_RV17,CCMi002-A,Homo sapiens,26Y,Induced pluripotent stem cell
CVCL_0207,CCRF-CEM,Homo sapiens,3Y11M,Cancer cell line
CVCL_EP75,CCRF-CEM C7H2,Homo sapiens,3Y11M,Cancer cell line
CVCL_1859,CCRF-HSB-2,Homo sapiens,11Y,Cancer cell line
CVCL_1860,CCRF-SB,Homo sapiens,11Y,Cancer cell line
CVCL_QX50,CEBe033-A-1,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_5720,CERV-186,Homo sapiens,42Y,Cancer cell line
CVCL_5721,CERV-196,Homo sapiens,42Y,Cancer cell line
CVCL_5722,CERV-215,Homo sapiens,39Y,Cancer cell line
CVCL_HL93,CFBE41o-,Homo sapiens,,Transformed cell line
CVCL_VP35,CFBE41o- 4.7 DeltaF508-CFTR,Homo sapiens,,Transformed cell line
CVCL_VP34,CFBE41o- 4.7 WT-CFTR,Homo sapiens,,Transformed cell line
CVCL_VP37,CFBE41o- 6.2 DeltaF508-CFTR,Homo sapiens,,Transformed cell line
CVCL_VP36,CFBE41o- 6.2 WT-CFTR,Homo sapiens,,Transformed cell line
CVCL_1119,CFPAC-1,Homo sapiens,26Y,Cancer cell line
CVCL_VP33,CFSMEo-,Homo sapiens,,Transformed cell line
CVCL_IN57,CFTE29o-,Homo sapiens,21Y,Transformed cell line
CVCL_VG71,CGBC 01,Homo sapiens,46Y,Cancer cell line
CVCL_VG72,CGBC 02,Homo sapiens,44Y,Cancer cell line
CVCL_1120,CGTH-W-1,Homo sapiens,59Y,Cancer cell line
CVCL_9736,CHA-hES10,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9737,CHA-hES11,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9738,CHA-hES12,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9739,CHA-hES13,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9740,CHA-hES14,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9741,CHA-hES15,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9742,CHA-hES16,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9743,CHA-hES17,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9744,CHA-hES18,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9745,CHA-hES19,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9746,CHA-hES20,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9747,CHA-hES21,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9748,CHA-hES22,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9749,CHA-hES23,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9750,CHA-hES24,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9751,CHA-hES25,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9752,CHA-hES26,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9753,CHA-hES3,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9754,CHA-hES4,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9755,CHA-hES5,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9756,CHA-hES6,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9757,CHA-hES7,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9758,CHA-hES8,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9759,CHA-hES9,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9760,CHA-hESM1,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9761,CHA-hESR1,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9762,CHA-hESR2,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9763,CHA-hESR3,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9764,CHA-hESR4,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_1121,ChaGo-K-1,Homo sapiens,45Y,Cancer cell line
CVCL_B008,chHES-90,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_1122,CHL-1,Homo sapiens,36Y,Cancer cell line
CVCL_6583,CHLA-10,Homo sapiens,14Y,Cancer cell line
CVCL_A055,CHLA-119,Homo sapiens,4Y,Cancer cell line
CVCL_A054,CHLA-122,Homo sapiens,3Y,Cancer cell line
CVCL_A060,CHLA-123,Homo sapiens,,Cancer cell line
CVCL_6589,CHLA-134,Homo sapiens,,Cancer cell line
CVCL_6590,CHLA-136,Homo sapiens,3Y,Cancer cell line
CVCL_6592,CHLA-140,Homo sapiens,,Cancer cell line
CVCL_6593,CHLA-143,Homo sapiens,,Cancer cell line
CVCL_AQ12,CHLA-144,Homo sapiens,,Cancer cell line
CVCL_AQ13,CHLA-145,Homo sapiens,,Cancer cell line
CVCL_6594,CHLA-15,Homo sapiens,1Y6M,Cancer cell line
CVCL_A059,CHLA-150,Homo sapiens,,Cancer cell line
CVCL_AX41,CHLA-151,Homo sapiens,,Cancer cell line
CVCL_6597,CHLA-171,Homo sapiens,8Y5M,Cancer cell line
CVCL_A056,CHLA-172,Homo sapiens,,Cancer cell line
CVCL_6598,CHLA-174,Homo sapiens,,Cancer cell line
CVCL_6600,CHLA-179,Homo sapiens,,Cancer cell line
CVCL_AQ34,CHLA-192,Homo sapiens,,Cancer cell line
CVCL_AQ35,CHLA-194,Homo sapiens,,Cancer cell line
CVCL_6602,CHLA-20,Homo sapiens,2Y,Cancer cell line
CVCL_M147,CHLA-200,Homo sapiens,12Y,Cancer cell line
CVCL_AQ36,CHLA-215,Homo sapiens,,Cancer cell line
CVCL_0B48,CHLA-218,Homo sapiens,,Cancer cell line
CVCL_AQ37,CHLA-222,Homo sapiens,,Cancer cell line
CVCL_AQ38,CHLA-223,Homo sapiens,,Cancer cell line
CVCL_AQ39,CHLA-224,Homo sapiens,,Cancer cell line
CVCL_A057,CHLA-225,Homo sapiens,,Cancer cell line
CVCL_AQ40,CHLA-246,Homo sapiens,,Cancer cell line
CVCL_AQ14,CHLA-247,Homo sapiens,,Cancer cell line
CVCL_M152,CHLA-25,Homo sapiens,2Y7M,Cancer cell line
CVCL_AQ15,CHLA-253,Homo sapiens,,Cancer cell line
CVCL_AX48,CHLA-253h,Homo sapiens,,Cancer cell line
CVCL_AQ27,CHLA-255,Homo sapiens,Age unspecified,Cancer cell line
CVCL_A058,CHLA-258,Homo sapiens,14Y,Cancer cell line
CVCL_M148,CHLA-259,Homo sapiens,14Y,Cancer cell line
CVCL_M149,CHLA-266,Homo sapiens,2Y6M,Cancer cell line
CVCL_M151,CHLA-32,Homo sapiens,8Y6M,Cancer cell line
CVCL_6603,CHLA-42,Homo sapiens,1Y1M,Cancer cell line
CVCL_6604,CHLA-51,Homo sapiens,,Cancer cell line
CVCL_6605,CHLA-52,Homo sapiens,,Cancer cell line
CVCL_AQ16,CHLA-53,Homo sapiens,,Cancer cell line
CVCL_6606,CHLA-54,Homo sapiens,,Cancer cell line
CVCL_0B49,CHLA-57,Homo sapiens,,Cancer cell line
CVCL_6607,CHLA-60,Homo sapiens,14Y,Cancer cell line
CVCL_AQ17,CHLA-61,Homo sapiens,14Y,Cancer cell line
CVCL_6608,CHLA-79,Homo sapiens,2Y,Cancer cell line
CVCL_6609,CHLA-8,Homo sapiens,,Cancer cell line
CVCL_M150,CHLA-9,Homo sapiens,14Y,Cancer cell line
CVCL_6610,CHLA-90,Homo sapiens,8Y6M,Cancer cell line
CVCL_6611,CHLA-95,Homo sapiens,Age unspecified,Cancer cell line
CVCL_6612,CHLA-98,Homo sapiens,,Cancer cell line
CVCL_0B50,CHLA-99,Homo sapiens,Age unspecified,Cancer cell line
CVCL_AV04,Chor-IN-1,Homo sapiens,55Y,Cancer cell line
CVCL_2779,CHP 4 (W.W.),Homo sapiens,15Y,Finite cell line
CVCL_7166,CHP-100,Homo sapiens,12Y,Cancer cell line
CVCL_1123,CHP-126,Homo sapiens,1Y2M,Cancer cell line
CVCL_1125,CHP-212,Homo sapiens,1Y8M,Cancer cell line
CVCL_1861,Ci-1,Homo sapiens,38Y,Cancer cell line
CVCL_RL44,CiRA00004,Homo sapiens,45Y,Induced pluripotent stem cell
CVCL_RL45,CiRA00005,Homo sapiens,64Y,Induced pluripotent stem cell
CVCL_RL46,CiRA00006,Homo sapiens,71Y,Induced pluripotent stem cell
CVCL_RL47,CiRA00007,Homo sapiens,49Y,Induced pluripotent stem cell
CVCL_RL48,CiRA00008,Homo sapiens,41Y,Induced pluripotent stem cell
CVCL_RL49,CiRA00009,Homo sapiens,45Y,Induced pluripotent stem cell
CVCL_RL50,CiRA00010,Homo sapiens,69Y,Induced pluripotent stem cell
CVCL_QX84,CIRAi001-A,Homo sapiens,20Y,Induced pluripotent stem cell
CVCL_QX85,CIRAi002-A,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_QX86,CIRAi003-A,Homo sapiens,28Y,Induced pluripotent stem cell
CVCL_UL56,CIRAi004-A,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_1978,CL-11,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1980,CL-34,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1982,CL-40,Homo sapiens,Age unspecified,Cancer cell line
CVCL_5727,CLS-145,Homo sapiens,70Y,Cancer cell line
CVCL_5971,CLS-354,Homo sapiens,51Y,Cancer cell line
CVCL_5982,CLS-439,Homo sapiens,61Y,Cancer cell line
CVCL_5728,CLS-54,Homo sapiens,65Y,Cancer cell line
CVCL_VE09,CM-AS16,Homo sapiens,49Y,Cancer cell line
CVCL_M592,CM2005.1,Homo sapiens,84Y,Cancer cell line
CVCL_D102,Co-115,Homo sapiens,77Y,Cancer cell line
CVCL_6891,CoC1,Homo sapiens,,Cancer cell line
CVCL_6892,CoC1/DDP,Homo sapiens,,Cancer cell line
CVCL_1127,CoCM-1,Homo sapiens,45Y,Cancer cell line
CVCL_RS25,COG-AR-359,Homo sapiens,,Cancer cell line
CVCL_M153,COG-E-352,Homo sapiens,17Y,Cancer cell line
CVCL_M159,COG-LL-317,Homo sapiens,1Y7M,Cancer cell line
CVCL_M160,COG-LL-317h,Homo sapiens,1Y7M,Cancer cell line
CVCL_M161,COG-LL-319h,Homo sapiens,13Y,Cancer cell line
CVCL_M162,COG-LL-329h,Homo sapiens,Children,Cancer cell line
CVCL_M163,COG-LL-332h,Homo sapiens,10Y,Cancer cell line
CVCL_M164,COG-LL-355h,Homo sapiens,Children,Cancer cell line
CVCL_M165,COG-LL-356h,Homo sapiens,Children,Cancer cell line
CVCL_M166,COG-LL-384h,Homo sapiens,Children,Cancer cell line
CVCL_AQ49,COG-LL-402h,Homo sapiens,Children,Cancer cell line
CVCL_AX46,COG-N-263,Homo sapiens,2-3Y,Cancer cell line
CVCL_AX55,COG-N-265,Homo sapiens,4-5Y,Cancer cell line
CVCL_AX49,COG-N-278,Homo sapiens,4-5Y,Cancer cell line
CVCL_AX45,COG-N-289,Homo sapiens,4-5Y,Cancer cell line
CVCL_AQ18,COG-N-291,Homo sapiens,,Cancer cell line
CVCL_AX67,COG-N-294,Homo sapiens,,Cancer cell line
CVCL_AX43,COG-N-295,Homo sapiens,3Y,Cancer cell line
CVCL_AX57,COG-N-297,Homo sapiens,2-3Y,Cancer cell line
CVCL_AX58,COG-N-299,Homo sapiens,2-3Y,Cancer cell line
CVCL_AX42,COG-N-305,Homo sapiens,1-2Y,Cancer cell line
CVCL_AQ19,COG-N-316,Homo sapiens,5Y2M,Cancer cell line
CVCL_AX44,COG-N-318,Homo sapiens,0-1Y,Cancer cell line
CVCL_AQ20,COG-N-321,Homo sapiens,1Y6M,Cancer cell line
CVCL_AX59,COG-N-324,Homo sapiens,1Y6M,Cancer cell line
CVCL_AX47,COG-N-327h,Homo sapiens,2-3Y,Cancer cell line
CVCL_AX60,COG-N-328h,Homo sapiens,5-6Y,Cancer cell line
CVCL_AX61,COG-N-331,Homo sapiens,9-10Y,Cancer cell line
CVCL_AX62,COG-N-334,Homo sapiens,1-2Y,Cancer cell line
CVCL_AX63,COG-N-346h,Homo sapiens,0-1Y,Cancer cell line
CVCL_AQ21,COG-N-347,Homo sapiens,2Y,Cancer cell line
CVCL_AX50,COG-N-349,Homo sapiens,3-4Y,Cancer cell line
CVCL_AX64,COG-N-354,Homo sapiens,1-2Y,Cancer cell line
CVCL_AX65,COG-N-354h,Homo sapiens,1-2Y,Cancer cell line
CVCL_AX51,COG-N-367h,Homo sapiens,2Y,Cancer cell line
CVCL_AX52,COG-N-386h,Homo sapiens,2-3Y,Cancer cell line
CVCL_AX53,COG-N-387h,Homo sapiens,3-4Y,Cancer cell line
CVCL_AQ22,COG-N-399,Homo sapiens,,Cancer cell line
CVCL_AQ23,COG-N-415,Homo sapiens,2Y,Cancer cell line
CVCL_AQ24,COG-N-421,Homo sapiens,,Cancer cell line
CVCL_LF58,COG-N-426,Homo sapiens,,Cancer cell line
CVCL_AQ25,COG-N-440,Homo sapiens,1Y6M,Cancer cell line
CVCL_VS96,COG-N-452,Homo sapiens,5Y,Cancer cell line
CVCL_LF59,COG-N-453,Homo sapiens,,Cancer cell line
CVCL_1987,COLO 201,Homo sapiens,70Y,Cancer cell line
CVCL_0218,COLO 205,Homo sapiens,70Y,Cancer cell line
CVCL_1989,COLO 320,Homo sapiens,55Y,Cancer cell line
CVCL_0219,COLO 320DM,Homo sapiens,55Y,Cancer cell line
CVCL_0220,COLO 320HSR,Homo sapiens,55Y,Cancer cell line
CVCL_4572,COLO 60H,Homo sapiens,73Y,Cancer cell line
CVCL_1129,COLO 678,Homo sapiens,69Y,Cancer cell line
CVCL_1130,COLO 679,Homo sapiens,47Y,Cancer cell line
CVCL_1131,COLO 680N,Homo sapiens,57Y,Cancer cell line
CVCL_1132,COLO 684,Homo sapiens,63Y,Cancer cell line
CVCL_1991,COLO 685,Homo sapiens,63Y,Cancer cell line
CVCL_1992,COLO 699,Homo sapiens,57Y,Cancer cell line
CVCL_1994,COLO 704,Homo sapiens,46Y,Cancer cell line
CVCL_1995,COLO 720E,Homo sapiens,73Y,Cancer cell line
CVCL_AV69,COLO 720E contaminated,Homo sapiens,46Y,Cancer cell line
CVCL_1133,COLO 741,Homo sapiens,69Y,Cancer cell line
CVCL_1997,COLO 783,Homo sapiens,48Y,Cancer cell line
CVCL_1134,COLO 792,Homo sapiens,62Y,Cancer cell line
CVCL_2408,COLO 794,Homo sapiens,14Y,Cancer cell line
CVCL_1135,COLO 800,Homo sapiens,14Y,Cancer cell line
CVCL_1998,COLO 818,Homo sapiens,14Y,Cancer cell line
CVCL_1136,COLO 824,Homo sapiens,52Y,Cancer cell line
CVCL_1137,COLO 829,Homo sapiens,45Y,Cancer cell line
CVCL_2002,COLO 849,Homo sapiens,43Y,Cancer cell line
CVCL_2004,COLO 857,Homo sapiens,43Y,Cancer cell line
CVCL_2005,COLO 858,Homo sapiens,43Y,Cancer cell line
CVCL_4573,COLO 94H,Homo sapiens,70Y,Cancer cell line
CVCL_2410,COR-L26,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1140,COR-L279,Homo sapiens,63Y,Cancer cell line
CVCL_2413,COR-L32,Homo sapiens,Age unspecified,Cancer cell line
